"r2a" "r1a" "recomb" "tcontig.x" "tcontig.y"
"17675" "C32549516_106128_111892__1975" "C31343970_1_2364__1126" "0.24501329787234" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17682" "C32549516_106128_111892__1975" "C32530314_45451_50445__486" "9.5367431640625e-07" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17685" "C32549516_106128_111892__1975" "C31343970_1_2364__1150" "9.5367431640625e-07" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17690" "C32549516_106128_111892__2220" "C31343970_1_2364__1082" "0.0477178664434524" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17709" "C32549516_106128_111892__2220" "C31343970_1_2364__1411" "0.0482913097703313" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17713" "C32549516_106128_111892__2220" "C32530314_45451_50445__2805" "0.0501953125" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17715" "C32549516_106128_111892__2220" "C31343970_1_2364__1150" "0.0477178664434524" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17727" "C32549516_106128_111892__2220" "C32530314_45451_50445__1499" "0.0371410228587963" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17729" "C32549516_106128_111892__2220" "C32530314_45451_50445__486" "0.0477178664434524" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17759" "C32549516_106128_111892__2346" "C32530314_45451_50445__1499" "0.0125579833984375" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17761" "C32549516_106128_111892__2346" "C31343970_1_2364__1411" "0.011962890625" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17766" "C32549516_106128_111892__2346" "C31343970_1_2364__1150" "0.0118228687959559" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17771" "C32549516_106128_111892__2346" "C31343970_1_2364__634" "0.288850715361446" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17774" "C32549516_106128_111892__2346" "C32530314_45451_50445__486" "0.0118228687959559" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17778" "C32549516_106128_111892__2346" "C31343970_1_2364__1126" "0.285435267857143" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17782" "C32549516_106128_111892__2346" "C32530314_45451_50445__2805" "0.0124037000868056" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17784" "C32549516_106128_111892__2346" "C31343970_1_2364__1082" "0.0118228687959559" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17785" "C32549516_106128_111892__3610" "C31343970_1_2364__1150" "9.5367431640625e-07" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17800" "C32549516_106128_111892__3610" "C32530314_45451_50445__1499" "9.5367431640625e-07" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17801" "C32549516_106128_111892__3610" "C31343970_1_2364__1126" "0.24501329787234" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17809" "C32549516_106128_111892__3610" "C31343970_1_2364__634" "0.25" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17817" "C32549516_106128_111892__3610" "C32530314_45451_50445__486" "9.5367431640625e-07" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17819" "C32549516_106128_111892__3610" "C31343970_1_2364__1411" "9.5367431640625e-07" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17824" "C32549516_106128_111892__3610" "C32530314_45451_50445__2805" "9.5367431640625e-07" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17825" "C32549516_106128_111892__3610" "C31343970_1_2364__1082" "9.5367431640625e-07" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17833" "C32549516_106128_111892__4388" "C31343970_1_2364__634" "0.260529891304348" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17835" "C32549516_106128_111892__4388" "C31343970_1_2364__1411" "0.0106967357878989" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17841" "C32549516_106128_111892__4388" "C31343970_1_2364__1126" "0.25498670212766" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17843" "C32549516_106128_111892__4388" "C32530314_45451_50445__2805" "0.01116943359375" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17854" "C32549516_106128_111892__4388" "C31343970_1_2364__1150" "0.0105847810444079" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17855" "C32549516_106128_111892__4388" "C32530314_45451_50445__1499" "9.5367431640625e-07" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17856" "C32549516_106128_111892__4388" "C31343970_1_2364__1082" "0.0105847810444079" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17864" "C32549516_106128_111892__4388" "C32530314_45451_50445__486" "0.0105847810444079" "comp1565_c0_seq1" "comp24588_c0_seq1"
"24074" "C32571330_91426_100731__4451" "C32121468_10449_15586__2775" "9.5367431640625e-07" "comp27438_c0_seq1" "comp7786_c0_seq1"
"24203" "C32571330_91426_100731__4451" "C32121468_10449_15586__3017" "9.5367431640625e-07" "comp27438_c0_seq1" "comp7786_c0_seq1"
"33941" "scaffold111047_18861_22501__1676" "C32530314_45451_50445__1499" "0.0245004049161585" "comp1565_c0_seq1" "comp6762_c0_seq1"
"33944" "scaffold111047_18861_22501__1676" "C31343970_1_2364__1411" "0.0233665288880814" "comp90150_c0_seq1" "comp6762_c0_seq1"
"33945" "scaffold111047_18861_22501__1676" "C32549516_106128_111892__2220" "0.0634734721123418" "comp24588_c0_seq1" "comp6762_c0_seq1"
"33946" "scaffold111047_18861_22501__1676" "C31343970_1_2364__1126" "0.278842659883721" "comp90150_c0_seq1" "comp6762_c0_seq1"
"33954" "scaffold111047_18861_22501__1676" "C32530314_45451_50445__2805" "0.011962890625" "comp1565_c0_seq1" "comp6762_c0_seq1"
"33956" "scaffold111047_18861_22501__1676" "C32549516_106128_111892__1975" "0.0230993512033046" "comp24588_c0_seq1" "comp6762_c0_seq1"
"33957" "scaffold111047_18861_22501__1676" "C31343970_1_2364__1150" "0.0230993512033046" "comp90150_c0_seq1" "comp6762_c0_seq1"
"33974" "scaffold111047_18861_22501__1676" "C32549516_106128_111892__3610" "0.0230993512033046" "comp24588_c0_seq1" "comp6762_c0_seq1"
"33979" "scaffold111047_18861_22501__1676" "C32549516_106128_111892__4388" "0.0345879916487069" "comp24588_c0_seq1" "comp6762_c0_seq1"
"33980" "scaffold111047_18861_22501__1676" "C32530314_45451_50445__486" "0.0230993512033046" "comp1565_c0_seq1" "comp6762_c0_seq1"
"33986" "scaffold111047_18861_22501__1676" "C31343970_1_2364__1082" "0.0230993512033046" "comp90150_c0_seq1" "comp6762_c0_seq1"
"33988" "scaffold111047_18861_22501__1676" "C31343970_1_2364__634" "0.285435267857143" "comp90150_c0_seq1" "comp6762_c0_seq1"
"33996" "scaffold111047_18861_22501__1676" "C32549516_106128_111892__2346" "0.0260834136566558" "comp24588_c0_seq1" "comp6762_c0_seq1"
"33999" "scaffold111047_18861_22501__1676" "C32549516_106128_111892__1868" "0.0230993512033046" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34009" "scaffold111047_18861_22501__2457" "C31343970_1_2364__1411" "9.5367431640625e-07" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34018" "scaffold111047_18861_22501__2457" "C32530314_45451_50445__2805" "9.5367431640625e-07" "comp1565_c0_seq1" "comp6762_c0_seq1"
"34020" "scaffold111047_18861_22501__2457" "C31343970_1_2364__1082" "9.5367431640625e-07" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34025" "scaffold111047_18861_22501__2457" "C32549516_106128_111892__1868" "9.5367431640625e-07" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34027" "scaffold111047_18861_22501__2457" "C32549516_106128_111892__3610" "9.5367431640625e-07" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34028" "scaffold111047_18861_22501__2457" "C32549516_106128_111892__4388" "0.0105847810444079" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34030" "scaffold111047_18861_22501__2457" "C31343970_1_2364__1126" "0.24501329787234" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34035" "scaffold111047_18861_22501__2457" "C31343970_1_2364__634" "0.25" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34036" "scaffold111047_18861_22501__2457" "C32549516_106128_111892__2220" "0.0477178664434524" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34037" "scaffold111047_18861_22501__2457" "C32549516_106128_111892__1975" "9.5367431640625e-07" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34038" "scaffold111047_18861_22501__2457" "C32530314_45451_50445__1499" "9.5367431640625e-07" "comp1565_c0_seq1" "comp6762_c0_seq1"
"34044" "scaffold111047_18861_22501__2457" "C32549516_106128_111892__2346" "0.0118228687959559" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34050" "scaffold111047_18861_22501__2457" "C31343970_1_2364__1150" "9.5367431640625e-07" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34056" "scaffold111047_18861_22501__2457" "C32530314_45451_50445__486" "9.5367431640625e-07" "comp1565_c0_seq1" "comp6762_c0_seq1"
"34066" "scaffold111047_18861_22501__2573" "C32549516_106128_111892__1975" "0.0106967357878989" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34071" "scaffold111047_18861_22501__2573" "C32549516_106128_111892__1868" "0.0106967357878989" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34075" "scaffold111047_18861_22501__2573" "C31343970_1_2364__1150" "0.0106967357878989" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34080" "scaffold111047_18861_22501__2573" "C31343970_1_2364__1411" "0.0108110981602823" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34083" "scaffold111047_18861_22501__2573" "C32549516_106128_111892__3610" "0.0106967357878989" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34093" "scaffold111047_18861_22501__2573" "C32549516_106128_111892__2220" "0.0604262754141566" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34095" "scaffold111047_18861_22501__2573" "C32549516_106128_111892__2346" "0.0236399931066176" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34105" "scaffold111047_18861_22501__2573" "C31343970_1_2364__634" "0.263521634615385" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34106" "scaffold111047_18861_22501__2573" "C32549516_106128_111892__4388" "0.0213882770944149" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34107" "scaffold111047_18861_22501__2573" "C31343970_1_2364__1082" "0.0106967357878989" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34108" "scaffold111047_18861_22501__2573" "C32530314_45451_50445__486" "0.0106967357878989" "comp1565_c0_seq1" "comp6762_c0_seq1"
"34109" "scaffold111047_18861_22501__2573" "C32530314_45451_50445__2805" "9.5367431640625e-07" "comp1565_c0_seq1" "comp6762_c0_seq1"
"34110" "scaffold111047_18861_22501__2573" "C32530314_45451_50445__1499" "0.0112942470593399" "comp1565_c0_seq1" "comp6762_c0_seq1"
"34112" "scaffold111047_18861_22501__2573" "C31343970_1_2364__1126" "0.2578125" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34117" "scaffold111047_18861_22501__2600" "C32549516_106128_111892__2220" "0.0477178664434524" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34119" "scaffold111047_18861_22501__2600" "C31343970_1_2364__1411" "9.5367431640625e-07" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34129" "scaffold111047_18861_22501__2600" "C32530314_45451_50445__1499" "9.5367431640625e-07" "comp1565_c0_seq1" "comp6762_c0_seq1"
"34130" "scaffold111047_18861_22501__2600" "C32530314_45451_50445__2805" "9.5367431640625e-07" "comp1565_c0_seq1" "comp6762_c0_seq1"
"34131" "scaffold111047_18861_22501__2600" "C32530314_45451_50445__486" "9.5367431640625e-07" "comp1565_c0_seq1" "comp6762_c0_seq1"
"34132" "scaffold111047_18861_22501__2600" "C31343970_1_2364__1150" "9.5367431640625e-07" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34147" "scaffold111047_18861_22501__2600" "C32549516_106128_111892__1975" "9.5367431640625e-07" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34148" "scaffold111047_18861_22501__2600" "C32549516_106128_111892__1868" "9.5367431640625e-07" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34157" "scaffold111047_18861_22501__2600" "C32549516_106128_111892__4388" "0.0105847810444079" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34160" "scaffold111047_18861_22501__2600" "C31343970_1_2364__1126" "0.24501329787234" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34163" "scaffold111047_18861_22501__2600" "C31343970_1_2364__1082" "9.5367431640625e-07" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34167" "scaffold111047_18861_22501__2600" "C31343970_1_2364__634" "0.25" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34169" "scaffold111047_18861_22501__2600" "C32549516_106128_111892__3610" "9.5367431640625e-07" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34171" "scaffold111047_18861_22501__2600" "C32549516_106128_111892__2346" "0.0118228687959559" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34178" "scaffold111047_18861_22501__2706" "C31343970_1_2364__1126" "0.267169331395349" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34179" "scaffold111047_18861_22501__2706" "C32549516_106128_111892__2346" "0.0257505759214744" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34180" "scaffold111047_18861_22501__2706" "C31343970_1_2364__1082" "0.0115524818157328" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34182" "scaffold111047_18861_22501__2706" "C32549516_106128_111892__2220" "0.0521414620535714" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34188" "scaffold111047_18861_22501__2706" "C31343970_1_2364__634" "0.2734375" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34189" "scaffold111047_18861_22501__2706" "C31343970_1_2364__1150" "0.0115524818157328" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34193" "scaffold111047_18861_22501__2706" "C32530314_45451_50445__2805" "0.0122531797827744" "comp1565_c0_seq1" "comp6762_c0_seq1"
"34198" "scaffold111047_18861_22501__2706" "C32549516_106128_111892__4388" "0.0230993512033046" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34204" "scaffold111047_18861_22501__2706" "C31343970_1_2364__1411" "0.0116861032885174" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34208" "scaffold111047_18861_22501__2706" "C32549516_106128_111892__3610" "0.0115524818157328" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34212" "scaffold111047_18861_22501__2706" "C32549516_106128_111892__1868" "0.0115524818157328" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34215" "scaffold111047_18861_22501__2706" "C32530314_45451_50445__486" "0.0115524818157328" "comp1565_c0_seq1" "comp6762_c0_seq1"
"34222" "scaffold111047_18861_22501__2706" "C32530314_45451_50445__1499" "0.0122531797827744" "comp1565_c0_seq1" "comp6762_c0_seq1"
"34223" "scaffold111047_18861_22501__2706" "C32549516_106128_111892__1975" "0.0115524818157328" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34227" "scaffold111047_18861_22501__2722" "C31343970_1_2364__1411" "9.5367431640625e-07" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34232" "scaffold111047_18861_22501__2722" "C31343970_1_2364__1150" "9.5367431640625e-07" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34241" "scaffold111047_18861_22501__2722" "C32549516_106128_111892__3610" "9.5367431640625e-07" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34246" "scaffold111047_18861_22501__2722" "C32530314_45451_50445__1499" "9.5367431640625e-07" "comp1565_c0_seq1" "comp6762_c0_seq1"
"34247" "scaffold111047_18861_22501__2722" "C32549516_106128_111892__2220" "0.0477178664434524" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34249" "scaffold111047_18861_22501__2722" "C32530314_45451_50445__486" "9.5367431640625e-07" "comp1565_c0_seq1" "comp6762_c0_seq1"
"34255" "scaffold111047_18861_22501__2722" "C31343970_1_2364__1082" "9.5367431640625e-07" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34256" "scaffold111047_18861_22501__2722" "C31343970_1_2364__1126" "0.24501329787234" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34257" "scaffold111047_18861_22501__2722" "C32549516_106128_111892__1868" "9.5367431640625e-07" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34260" "scaffold111047_18861_22501__2722" "C31343970_1_2364__634" "0.25" "comp90150_c0_seq1" "comp6762_c0_seq1"
"34266" "scaffold111047_18861_22501__2722" "C32530314_45451_50445__2805" "9.5367431640625e-07" "comp1565_c0_seq1" "comp6762_c0_seq1"
"34271" "scaffold111047_18861_22501__2722" "C32549516_106128_111892__1975" "9.5367431640625e-07" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34280" "scaffold111047_18861_22501__2722" "C32549516_106128_111892__2346" "0.0118228687959559" "comp24588_c0_seq1" "comp6762_c0_seq1"
"34281" "scaffold111047_18861_22501__2722" "C32549516_106128_111892__4388" "0.0105847810444079" "comp24588_c0_seq1" "comp6762_c0_seq1"
"70816" "scaffold176047_43245_47717__879" "C31931688_2524_10328__4867" "0.151355832122093" "comp18590_c0_seq1" "comp22028_c0_seq1"
"70828" "scaffold176047_43245_47717__879" "C31931688_2524_10328__5294" "0.126557360197368" "comp18590_c0_seq1" "comp22028_c0_seq1"
"70846" "scaffold176047_43245_47717__879" "C31931688_2524_10328__4864" "0.126557360197368" "comp18590_c0_seq1" "comp22028_c0_seq1"
"77443" "scaffold183037_90428_98361__7274" "C32530314_45451_50445__2805" "0.299609375" "comp1565_c0_seq1" "comp6247_c0_seq1"
"77568" "scaffold183037_90428_98361__7521" "C32121468_10449_15586__3017" "0.241246234939759" "comp27438_c0_seq1" "comp6247_c0_seq1"
"77691" "scaffold183037_90428_98361__7521" "C32121468_10449_15586__2775" "0.241246234939759" "comp27438_c0_seq1" "comp6247_c0_seq1"
"77703" "scaffold183037_90428_98361__7521" "C32571330_91426_100731__4451" "0.241246234939759" "comp7786_c0_seq1" "comp6247_c0_seq1"
"191738" "scaffold332534.3_21273_29861__6853" "C31343970_1_2364__1411" "0.01116943359375" "comp90150_c0_seq1" "comp15427_c1_seq1"
"191749" "scaffold332534.3_21273_29861__6853" "C32549516_106128_111892__1868" "0.01104736328125" "comp24588_c0_seq1" "comp15427_c1_seq1"
"191751" "scaffold332534.3_21273_29861__6853" "scaffold111047_18861_22501__1676" "0.0362489999058735" "comp6762_c0_seq1" "comp15427_c1_seq1"
"191756" "scaffold332534.3_21273_29861__6853" "C32549516_106128_111892__2220" "0.06268310546875" "comp24588_c0_seq1" "comp15427_c1_seq1"
"191762" "scaffold332534.3_21273_29861__6853" "C32549516_106128_111892__1975" "0.01104736328125" "comp24588_c0_seq1" "comp15427_c1_seq1"
"191771" "scaffold332534.3_21273_29861__6853" "C31343970_1_2364__1150" "0.01104736328125" "comp90150_c0_seq1" "comp15427_c1_seq1"
"191778" "scaffold332534.3_21273_29861__6853" "scaffold111047_18861_22501__2600" "0.01104736328125" "comp6762_c0_seq1" "comp15427_c1_seq1"
"191783" "scaffold332534.3_21273_29861__6853" "C32530314_45451_50445__1499" "0.0116861032885174" "comp1565_c0_seq1" "comp15427_c1_seq1"
"191786" "scaffold332534.3_21273_29861__6853" "C32530314_45451_50445__486" "0.01104736328125" "comp1565_c0_seq1" "comp15427_c1_seq1"
"191793" "scaffold332534.3_21273_29861__6853" "C32530314_45451_50445__2805" "0.0116861032885174" "comp1565_c0_seq1" "comp15427_c1_seq1"
"191800" "scaffold332534.3_21273_29861__6853" "C31343970_1_2364__634" "0.261008522727273" "comp90150_c0_seq1" "comp15427_c1_seq1"
"191806" "scaffold332534.3_21273_29861__6853" "C32549516_106128_111892__3610" "0.01104736328125" "comp24588_c0_seq1" "comp15427_c1_seq1"
"191810" "scaffold332534.3_21273_29861__6853" "C31343970_1_2364__1082" "0.01104736328125" "comp90150_c0_seq1" "comp15427_c1_seq1"
"191813" "scaffold332534.3_21273_29861__6853" "scaffold111047_18861_22501__2722" "0.01104736328125" "comp6762_c0_seq1" "comp15427_c1_seq1"
"191820" "scaffold332534.3_21273_29861__6853" "scaffold111047_18861_22501__2457" "0.01104736328125" "comp6762_c0_seq1" "comp15427_c1_seq1"
"191821" "scaffold332534.3_21273_29861__6853" "scaffold111047_18861_22501__2573" "0.0223334418402778" "comp6762_c0_seq1" "comp15427_c1_seq1"
"191823" "scaffold332534.3_21273_29861__6853" "C32549516_106128_111892__4388" "0.022089360834478" "comp24588_c0_seq1" "comp15427_c1_seq1"
"191827" "scaffold332534.3_21273_29861__6853" "C31343970_1_2364__1126" "0.255208333333333" "comp90150_c0_seq1" "comp15427_c1_seq1"
"191830" "scaffold332534.3_21273_29861__6853" "C32549516_106128_111892__2346" "0.0248013720100309" "comp24588_c0_seq1" "comp15427_c1_seq1"
"191832" "scaffold332534.3_21273_29861__6853" "scaffold111047_18861_22501__2706" "0.0236399931066176" "comp6762_c0_seq1" "comp15427_c1_seq1"
"191842" "scaffold332534.3_21273_29861__7020" "scaffold111047_18861_22501__2722" "9.5367431640625e-07" "comp6762_c0_seq1" "comp15427_c1_seq1"
"191843" "scaffold332534.3_21273_29861__7020" "C32549516_106128_111892__2220" "0.0477178664434524" "comp24588_c0_seq1" "comp15427_c1_seq1"
"191852" "scaffold332534.3_21273_29861__7020" "C32549516_106128_111892__1868" "9.5367431640625e-07" "comp24588_c0_seq1" "comp15427_c1_seq1"
"191855" "scaffold332534.3_21273_29861__7020" "scaffold111047_18861_22501__2573" "0.0106967357878989" "comp6762_c0_seq1" "comp15427_c1_seq1"
"191856" "scaffold332534.3_21273_29861__7020" "scaffold111047_18861_22501__1676" "0.0230993512033046" "comp6762_c0_seq1" "comp15427_c1_seq1"
"191859" "scaffold332534.3_21273_29861__7020" "scaffold111047_18861_22501__2600" "9.5367431640625e-07" "comp6762_c0_seq1" "comp15427_c1_seq1"
"191871" "scaffold332534.3_21273_29861__7020" "C32530314_45451_50445__486" "9.5367431640625e-07" "comp1565_c0_seq1" "comp15427_c1_seq1"
"191906" "scaffold332534.3_21273_29861__7020" "C31343970_1_2364__1126" "0.24501329787234" "comp90150_c0_seq1" "comp15427_c1_seq1"
"191909" "scaffold332534.3_21273_29861__7020" "C32549516_106128_111892__3610" "9.5367431640625e-07" "comp24588_c0_seq1" "comp15427_c1_seq1"
"191910" "scaffold332534.3_21273_29861__7020" "C31343970_1_2364__634" "0.25" "comp90150_c0_seq1" "comp15427_c1_seq1"
"191914" "scaffold332534.3_21273_29861__7020" "C32549516_106128_111892__2346" "0.0118228687959559" "comp24588_c0_seq1" "comp15427_c1_seq1"
"191923" "scaffold332534.3_21273_29861__7020" "C31343970_1_2364__1150" "9.5367431640625e-07" "comp90150_c0_seq1" "comp15427_c1_seq1"
"191927" "scaffold332534.3_21273_29861__7020" "C31343970_1_2364__1411" "9.5367431640625e-07" "comp90150_c0_seq1" "comp15427_c1_seq1"
"191934" "scaffold332534.3_21273_29861__7020" "C32549516_106128_111892__4388" "0.0105847810444079" "comp24588_c0_seq1" "comp15427_c1_seq1"
"191938" "scaffold332534.3_21273_29861__7020" "scaffold111047_18861_22501__2457" "9.5367431640625e-07" "comp6762_c0_seq1" "comp15427_c1_seq1"
"191945" "scaffold332534.3_21273_29861__7020" "C32530314_45451_50445__1499" "9.5367431640625e-07" "comp1565_c0_seq1" "comp15427_c1_seq1"
"191956" "scaffold332534.3_21273_29861__7020" "C31343970_1_2364__1082" "9.5367431640625e-07" "comp90150_c0_seq1" "comp15427_c1_seq1"
"191957" "scaffold332534.3_21273_29861__7020" "scaffold111047_18861_22501__2706" "0.0115524818157328" "comp6762_c0_seq1" "comp15427_c1_seq1"
