pine	spruce
comp2037_c0_seq1	comp3965_c0_seq1
comp20381_c0_seq1	comp24665_c0_seq1
comp10773_c0_seq1	comp7481_c0_seq1
comp20383_c0_seq1	comp24859_c0_seq1
comp20385_c0_seq1	comp10058_c0_seq1
comp20388_c0_seq1	comp18108_c0_seq1
comp2038_c0_seq1	comp7376_c0_seq1
comp20392_c0_seq1	comp19521_c2_seq1
comp20393_c0_seq1	comp14854_c0_seq1
comp203_c0_seq1	comp508_c0_seq1
comp10774_c0_seq1	comp11278_c0_seq1
comp20417_c0_seq1	comp3193_c2_seq1
comp20418_c0_seq1	comp30780_c0_seq1
comp20419_c0_seq1	comp19769_c0_seq1
comp2041_c0_seq1	comp1840_c0_seq1
comp20427_c1_seq1	comp33480_c0_seq1
comp20430_c0_seq1	comp47259_c0_seq1
comp20431_c0_seq1	comp26473_c0_seq1
comp20432_c0_seq1	comp11650_c0_seq1
comp10775_c0_seq1	comp8769_c0_seq1
comp20436_c0_seq1	comp27029_c0_seq1
comp20438_c0_seq1	comp18554_c0_seq1
comp2043_c0_seq1	comp2103_c0_seq1
comp10776_c0_seq1	comp8266_c0_seq1
comp20449_c0_seq1	comp2175_c0_seq1
comp2044_c0_seq1	comp2968_c0_seq1
comp20450_c1_seq1	comp22052_c0_seq1
comp20456_c0_seq1	comp20484_c0_seq1
comp20457_c0_seq1	comp22976_c0_seq1
comp2045_c0_seq1	comp3760_c0_seq1
comp10777_c1_seq1	comp17146_c1_seq1
comp20460_c0_seq1	comp23704_c0_seq1
comp20461_c0_seq1	comp20333_c0_seq1
comp20468_c0_seq1	comp16844_c0_seq1
comp2046_c0_seq1	comp2187_c0_seq1
comp20471_c0_seq1	comp22717_c0_seq1
comp20472_c0_seq1	comp23507_c0_seq1
comp20475_c0_seq1	comp21548_c1_seq1
comp2047_c0_seq1	comp2965_c0_seq1
comp20481_c0_seq1	comp27190_c0_seq1
comp10779_c0_seq1	comp10036_c0_seq1
comp20483_c0_seq1	comp14105_c0_seq1
comp2049_c0_seq1	comp1822_c0_seq1
comp20505_c0_seq1	comp19359_c0_seq1
comp20508_c0_seq1	comp13247_c0_seq1
comp2050_c0_seq1	comp1860_c0_seq1
comp20510_c0_seq1	comp18031_c2_seq1
comp10780_c0_seq1	comp17548_c0_seq1
comp20515_c0_seq1	comp19155_c0_seq1
comp2051_c0_seq1	comp3824_c0_seq1
comp20523_c0_seq1	comp26662_c0_seq1
comp20524_c0_seq1	comp21934_c0_seq1
comp10781_c0_seq1	comp11453_c0_seq1
comp2052_c0_seq1	comp2829_c0_seq1
comp20531_c1_seq1	comp17758_c0_seq1
comp20532_c0_seq1	comp131090_c0_seq1
comp20534_c0_seq1	comp21517_c0_seq1
comp20537_c0_seq1	comp21624_c0_seq1
comp10782_c1_seq1	comp9220_c0_seq1
comp20538_c0_seq1	comp15123_c0_seq1
comp2053_c0_seq1	comp3722_c0_seq1
comp20543_c0_seq1	comp26558_c0_seq1
comp20544_c0_seq1	comp17542_c0_seq1
comp2054_c0_seq1	comp1961_c0_seq1
comp20551_c1_seq1	comp20237_c0_seq1
comp20553_c1_seq1	comp16490_c0_seq1
comp20557_c0_seq1	comp11159_c0_seq1
comp10783_c0_seq1	comp9125_c0_seq1
comp20567_c0_seq1	comp7954_c0_seq1
comp2056_c0_seq1	comp4328_c0_seq1
comp20571_c1_seq1	comp16834_c0_seq1
comp20572_c0_seq1	comp17535_c0_seq1
comp20577_c0_seq1	comp26796_c0_seq1
comp20579_c1_seq1	comp59777_c0_seq1
comp2057_c0_seq1	comp1813_c1_seq1
comp2057_c1_seq1	comp1813_c2_seq1
comp20581_c0_seq1	comp25307_c2_seq1
comp20582_c0_seq1	comp3389_c0_seq1
comp20585_c0_seq1	comp39367_c0_seq1
comp20587_c1_seq1	comp26170_c0_seq1
comp2058_c0_seq1	comp2219_c0_seq1
comp20590_c0_seq1	comp27534_c0_seq1
comp20595_c0_seq1	comp15939_c0_seq1
comp20598_c0_seq1	comp10815_c0_seq1
comp2059_c0_seq1	comp2589_c0_seq1
comp10784_c0_seq1	comp15161_c0_seq1
comp20603_c0_seq1	comp18342_c0_seq1
comp20604_c0_seq1	comp18805_c0_seq1
comp20605_c0_seq1	comp3628_c7_seq1
comp10785_c0_seq1	comp20392_c0_seq1
comp2060_c0_seq1	comp5135_c0_seq1
comp20611_c0_seq1	comp16547_c0_seq1
comp20617_c0_seq1	comp5789_c0_seq1
comp20618_c0_seq1	comp32678_c0_seq1
comp2061_c0_seq1	comp2497_c0_seq1
comp10786_c0_seq1	comp11197_c0_seq1
comp20622_c0_seq1	comp19003_c0_seq1
comp20624_c0_seq1	comp27982_c0_seq1
comp2062_c0_seq1	comp2632_c0_seq1
comp10787_c0_seq1	comp5081_c0_seq1
comp20633_c0_seq1	comp19463_c0_seq1
comp20635_c0_seq1	comp27426_c0_seq1
comp20637_c0_seq1	comp21495_c1_seq1
comp2063_c0_seq1	comp4551_c0_seq1
comp20641_c1_seq1	comp16653_c0_seq1
comp20642_c0_seq1	comp16912_c0_seq1
comp20643_c0_seq1	comp24602_c0_seq1
comp20649_c0_seq1	comp50284_c0_seq1
comp2064_c0_seq1	comp4051_c0_seq1
comp20654_c0_seq1	comp18058_c0_seq1
comp20667_c0_seq1	comp22855_c0_seq1
comp20668_c0_seq1	comp21567_c0_seq1
comp2066_c0_seq1	comp1808_c0_seq1
comp10790_c0_seq1	comp9745_c0_seq1
comp20671_c0_seq1	comp24026_c0_seq1
comp20673_c0_seq1	comp12969_c0_seq1
comp20674_c0_seq1	comp34831_c0_seq1
comp2067_c0_seq1	comp4449_c0_seq1
comp20683_c0_seq1	comp33006_c0_seq1
comp20684_c0_seq1	comp18853_c0_seq1
comp20685_c0_seq1	comp20620_c0_seq1
comp20686_c0_seq1	comp22345_c0_seq1
comp2068_c0_seq1	comp9469_c0_seq1
comp2068_c1_seq1	comp2771_c0_seq1
comp20693_c0_seq1	comp23592_c0_seq1
comp20697_c0_seq1	comp4125_c1_seq1
comp20698_c0_seq1	comp18107_c0_seq1
comp2069_c0_seq1	comp3710_c0_seq1
comp206_c0_seq1	comp523_c0_seq1
comp20701_c0_seq1	comp16972_c0_seq1
comp20702_c0_seq1	comp21285_c0_seq1
comp20703_c0_seq1	comp32343_c0_seq1
comp20705_c0_seq1	comp15294_c0_seq1
comp20709_c0_seq1	comp16814_c0_seq1
comp2070_c0_seq1	comp11123_c0_seq1
comp20712_c0_seq1	comp22669_c0_seq1
comp2071_c0_seq1	comp2505_c0_seq1
comp10793_c1_seq1	comp12110_c0_seq1
comp20726_c0_seq1	comp17562_c0_seq1
comp20727_c0_seq1	comp39482_c0_seq1
comp20729_c1_seq1	comp28510_c0_seq1
comp20733_c0_seq1	comp7232_c15_seq1
comp10076_c0_seq1	comp11289_c1_seq1
comp20736_c0_seq1	comp16237_c1_seq1
comp20739_c0_seq1	comp18552_c0_seq1
comp2073_c0_seq1	comp2297_c0_seq1
comp20740_c0_seq1	comp34389_c0_seq1
comp20742_c0_seq1	comp16704_c0_seq1
comp20747_c0_seq1	comp23116_c0_seq1
comp10795_c0_seq1	comp8180_c1_seq1
comp2074_c0_seq1	comp4182_c0_seq1
comp20752_c0_seq1	comp25383_c0_seq1
comp20758_c0_seq1	comp31034_c0_seq1
comp2075_c0_seq1	comp1382_c0_seq1
comp20763_c0_seq1	comp26378_c0_seq1
comp20766_c0_seq1	comp23178_c0_seq1
comp20767_c0_seq1	comp19806_c0_seq1
comp2076_c0_seq1	comp740_c0_seq1
comp20770_c0_seq1	comp19762_c0_seq1
comp20779_c1_seq1	comp19025_c0_seq1
comp2077_c0_seq1	comp1477_c0_seq1
comp20790_c0_seq1	comp20459_c0_seq1
comp20797_c0_seq1	comp19040_c0_seq1
comp2079_c0_seq1	comp5956_c1_seq1
comp20801_c0_seq1	comp15088_c0_seq1
comp1079_c0_seq1	comp1473_c0_seq1
comp2080_c0_seq1	comp1949_c0_seq1
comp20810_c0_seq1	comp2066_c0_seq1
comp20811_c2_seq1	comp22380_c0_seq1
comp20816_c0_seq1	comp10877_c0_seq1
comp20817_c0_seq1	comp14004_c1_seq1
comp20818_c0_seq1	comp35524_c0_seq1
comp20822_c0_seq1	comp20492_c0_seq1
comp20824_c0_seq1	comp17445_c0_seq1
comp20828_c0_seq1	comp8378_c0_seq1
comp20828_c1_seq1	comp10533_c0_seq1
comp20830_c0_seq1	comp15065_c0_seq1
comp10801_c0_seq1	comp12548_c0_seq1
comp20837_c0_seq1	comp19120_c0_seq1
comp20838_c0_seq1	comp16514_c0_seq1
comp2083_c1_seq1	comp5243_c2_seq1
comp20847_c0_seq1	comp9073_c0_seq1
comp20848_c0_seq1	comp13374_c0_seq1
comp20849_c0_seq1	comp23036_c0_seq1
comp2084_c0_seq1	comp3733_c0_seq1
comp10803_c0_seq1	comp16424_c0_seq1
comp20859_c0_seq1	comp23588_c0_seq1
comp2086_c0_seq1	comp2653_c0_seq1
comp10077_c0_seq1	comp18001_c0_seq1
comp20880_c0_seq1	comp40902_c0_seq1
comp20884_c0_seq1	comp18906_c0_seq1
comp20885_c0_seq1	comp19028_c0_seq1
comp20886_c0_seq1	comp44158_c0_seq1
comp20892_c0_seq1	comp8613_c0_seq1
comp20894_c0_seq1	comp41145_c0_seq1
comp20896_c0_seq1	comp36445_c0_seq1
comp2089_c0_seq1	comp1399_c0_seq1
comp208_c0_seq1	comp332_c0_seq1
comp20902_c0_seq1	comp11511_c0_seq1
comp20903_c0_seq1	comp18858_c0_seq1
comp10805_c0_seq1	comp13010_c0_seq1
comp20904_c0_seq1	comp16035_c0_seq1
comp20911_c0_seq1	comp23351_c0_seq1
comp20913_c0_seq1	comp20009_c0_seq1
comp2091_c0_seq1	comp1148_c0_seq1
comp20920_c0_seq1	comp18190_c2_seq1
comp20921_c0_seq1	comp33455_c3_seq1
comp20922_c0_seq1	comp13502_c0_seq1
comp2092_c0_seq1	comp7965_c0_seq1
comp20931_c0_seq1	comp20219_c0_seq1
comp2093_c0_seq1	comp1567_c0_seq1
comp10808_c0_seq1	comp19125_c0_seq1
comp20944_c0_seq1	comp18135_c0_seq1
comp2094_c0_seq1	comp5283_c0_seq1
comp20951_c0_seq1	comp25130_c0_seq1
comp20952_c0_seq1	comp31271_c0_seq1
comp20953_c0_seq1	comp20967_c0_seq1
comp20954_c0_seq1	comp17615_c0_seq1
comp20955_c0_seq1	comp18154_c0_seq1
comp20956_c0_seq1	comp27440_c0_seq1
comp2095_c0_seq1	comp646_c2_seq1
comp20960_c0_seq1	comp18848_c0_seq1
comp20964_c0_seq1	comp38441_c0_seq1
comp20966_c1_seq1	comp45514_c0_seq1
comp20968_c1_seq1	comp26335_c0_seq1
comp2096_c0_seq1	comp2603_c0_seq1
comp20970_c0_seq1	comp30108_c1_seq1
comp20975_c0_seq1	comp23309_c1_seq1
comp20977_c0_seq1	comp15317_c0_seq1
comp20978_c0_seq1	comp27728_c0_seq1
comp20979_c0_seq1	comp22526_c0_seq1
comp2097_c0_seq1	comp4802_c0_seq1
comp10810_c1_seq1	comp6485_c0_seq1
comp20981_c0_seq1	comp34633_c0_seq1
comp20982_c0_seq1	comp2165_c1_seq1
comp20984_c0_seq1	comp10045_c0_seq1
comp20986_c0_seq1	comp33594_c2_seq1
comp20993_c0_seq1	comp13899_c0_seq1
comp20994_c0_seq1	comp16791_c0_seq1
comp20995_c1_seq1	comp21436_c0_seq1
comp20996_c0_seq1	comp19770_c0_seq1
comp21000_c0_seq1	comp2102_c1_seq1
comp21002_c0_seq1	comp24036_c0_seq1
comp21005_c0_seq1	comp23164_c1_seq1
comp10078_c0_seq1	comp12428_c0_seq1
comp21006_c0_seq1	comp27146_c0_seq1
comp21008_c0_seq1	comp16923_c0_seq1
comp2100_c0_seq1	comp8968_c0_seq1
comp21011_c1_seq1	comp14474_c0_seq1
comp21016_c0_seq1	comp15648_c0_seq1
comp21017_c0_seq1	comp20416_c0_seq1
comp21018_c0_seq1	comp19980_c0_seq1
comp2101_c0_seq1	comp1859_c0_seq1
comp21021_c0_seq1	comp25992_c0_seq1
comp21030_c0_seq1	comp14855_c0_seq1
comp21031_c0_seq1	comp28448_c0_seq1
comp21032_c0_seq1	comp81469_c0_seq1
comp21032_c1_seq1	comp25247_c0_seq1
comp21038_c0_seq1	comp15931_c0_seq1
comp2103_c0_seq1	comp2220_c0_seq1
comp10813_c0_seq1	comp9052_c0_seq1
comp21041_c1_seq1	comp16632_c0_seq1
comp21050_c0_seq1	comp6316_c1_seq1
comp10814_c0_seq1	comp9400_c0_seq1
comp2105_c0_seq1	comp6962_c0_seq1
comp21065_c0_seq1	comp68220_c0_seq1
comp2106_c0_seq1	comp6328_c0_seq1
comp21070_c0_seq1	comp77901_c0_seq1
comp21072_c0_seq1	comp26719_c1_seq1
comp21073_c0_seq1	comp19448_c0_seq1
comp21075_c1_seq1	comp12748_c0_seq1
comp21077_c0_seq1	comp18418_c0_seq1
comp21077_c1_seq1	comp36457_c0_seq1
comp21079_c0_seq1	comp28773_c0_seq1
comp2107_c0_seq1	comp5421_c0_seq1
comp21085_c0_seq1	comp19982_c0_seq1
comp2108_c0_seq1	comp8430_c0_seq1
comp21091_c0_seq1	comp20803_c0_seq1
comp21093_c0_seq1	comp24424_c0_seq1
comp21098_c0_seq1	comp32456_c0_seq1
comp2109_c0_seq1	comp1745_c0_seq1
comp21103_c0_seq1	comp30241_c0_seq1
comp10816_c0_seq1	comp8947_c0_seq1
comp21103_c1_seq1	comp28721_c1_seq1
comp21104_c0_seq1	comp15234_c0_seq1
comp21106_c1_seq1	comp13480_c0_seq1
comp21108_c0_seq1	comp23934_c0_seq1
comp21111_c0_seq1	comp54090_c0_seq1
comp21112_c0_seq1	comp19608_c0_seq1
comp21114_c0_seq1	comp27130_c0_seq1
comp21115_c0_seq1	comp27601_c0_seq1
comp2111_c0_seq1	comp1796_c0_seq1
comp21120_c0_seq1	comp15967_c0_seq1
comp21122_c0_seq1	comp21603_c0_seq1
comp21125_c2_seq1	comp34905_c1_seq1
comp21126_c0_seq1	comp110658_c0_seq1
comp10818_c0_seq1	comp8028_c0_seq1
comp2112_c0_seq1	comp1266_c0_seq1
comp21133_c0_seq1	comp25994_c0_seq1
comp21137_c0_seq1	comp16510_c0_seq1
comp2113_c0_seq1	comp1569_c0_seq1
comp21142_c0_seq1	comp13134_c1_seq1
comp21145_c0_seq1	comp26380_c0_seq1
comp10819_c0_seq1	comp19098_c0_seq1
comp21148_c0_seq1	comp16976_c1_seq1
comp2114_c0_seq1	comp1539_c0_seq1
comp21150_c0_seq1	comp25387_c0_seq1
comp21157_c0_seq1	comp23385_c1_seq1
comp21158_c0_seq1	comp15949_c0_seq1
comp1081_c0_seq1	comp2769_c0_seq1
comp21169_c0_seq1	comp22338_c0_seq1
comp21174_c0_seq1	comp19036_c0_seq1
comp21177_c0_seq1	comp21862_c0_seq1
comp2117_c0_seq1	comp2867_c0_seq1
comp21182_c0_seq1	comp23450_c0_seq1
comp21184_c0_seq1	comp23614_c0_seq1
comp2118_c0_seq1	comp2090_c0_seq1
comp21191_c0_seq1	comp29177_c0_seq1
comp21194_c0_seq1	comp20744_c0_seq1
comp21195_c0_seq1	comp16040_c0_seq1
comp2119_c0_seq1	comp1631_c0_seq1
comp2120_c0_seq1	comp8125_c0_seq1
comp21214_c0_seq1	comp21324_c0_seq1
comp21218_c1_seq1	comp3167_c0_seq1
comp21219_c0_seq1	comp13270_c0_seq1
comp2121_c2_seq1	comp1165_c0_seq1
comp21222_c0_seq1	comp26903_c0_seq1
comp21223_c0_seq1	comp15486_c1_seq1
comp21236_c0_seq1	comp44409_c0_seq1
comp2123_c0_seq1	comp3723_c0_seq1
comp10822_c1_seq1	comp9803_c0_seq1
comp21249_c0_seq1	comp30357_c0_seq1
comp2124_c0_seq1	comp1595_c0_seq1
comp21255_c0_seq1	comp13938_c2_seq1
comp21257_c0_seq1	comp24392_c0_seq1
comp21258_c0_seq1	comp14936_c0_seq1
comp2125_c0_seq1	comp3375_c0_seq1
comp21261_c0_seq1	comp22858_c0_seq1
comp21264_c2_seq1	comp19304_c0_seq1
comp21267_c0_seq1	comp28174_c0_seq1
comp21268_c0_seq1	comp19971_c0_seq1
comp10824_c0_seq1	comp14427_c1_seq1
comp2126_c0_seq1	comp5465_c0_seq1
comp21274_c0_seq1	comp27418_c0_seq1
comp21277_c0_seq1	comp31507_c1_seq1
comp21278_c0_seq1	comp4396_c0_seq1
comp2127_c0_seq1	comp860_c0_seq1
comp21280_c0_seq1	comp17958_c0_seq1
comp10007_c0_seq1	comp10524_c0_seq1
comp21285_c0_seq1	comp35211_c0_seq1
comp21287_c0_seq1	comp24693_c1_seq1
comp2128_c0_seq1	comp1967_c0_seq1
comp21291_c0_seq1	comp7559_c0_seq1
comp212_c0_seq1	comp339_c0_seq1
comp10826_c0_seq1	comp12238_c0_seq1
comp21304_c0_seq1	comp11041_c0_seq1
comp2130_c0_seq1	comp6230_c0_seq1
comp21310_c0_seq1	comp23156_c0_seq1
comp21311_c0_seq1	comp48635_c0_seq1
comp21316_c0_seq1	comp12029_c0_seq1
comp10827_c0_seq1	comp10663_c0_seq1
comp21319_c0_seq1	comp44718_c0_seq1
comp2131_c0_seq1	comp3292_c0_seq1
comp21321_c0_seq1	comp26438_c0_seq1
comp21324_c0_seq1	comp21432_c0_seq1
comp21328_c0_seq1	comp22395_c0_seq1
comp21330_c1_seq1	comp18696_c0_seq1
comp21336_c0_seq1	comp19893_c0_seq1
comp21338_c0_seq1	comp17967_c0_seq1
comp21339_c0_seq1	comp5100_c0_seq1
comp2133_c0_seq1	comp1571_c2_seq1
comp21343_c1_seq1	comp22607_c0_seq1
comp21345_c0_seq1	comp94839_c0_seq1
comp21346_c0_seq1	comp21725_c0_seq1
comp2134_c0_seq1	comp3104_c0_seq1
comp21353_c0_seq1	comp22535_c0_seq1
comp21358_c0_seq1	comp19242_c0_seq1
comp21359_c0_seq1	comp23511_c0_seq1
comp21363_c0_seq1	comp27199_c0_seq1
comp10829_c0_seq1	comp11557_c0_seq1
comp21368_c0_seq1	comp17190_c0_seq1
comp2136_c0_seq1	comp1794_c1_seq1
comp21372_c0_seq1	comp12066_c0_seq1
comp21385_c0_seq1	comp18067_c0_seq1
comp2138_c0_seq1	comp3862_c0_seq1
comp21390_c0_seq1	comp59125_c0_seq1
comp21395_c0_seq1	comp36819_c0_seq1
comp21397_c0_seq1	comp33645_c0_seq1
comp21399_c1_seq1	comp28873_c0_seq1
comp213_c0_seq1	comp396_c0_seq1
comp21400_c0_seq1	comp15041_c0_seq1
comp21405_c0_seq1	comp21038_c0_seq1
comp10832_c0_seq1	comp8826_c1_seq1
comp21408_c0_seq1	comp28210_c0_seq1
comp21411_c0_seq1	comp27814_c0_seq1
comp21413_c0_seq1	comp47172_c0_seq1
comp21427_c1_seq1	comp3449_c0_seq1
comp21429_c0_seq1	comp20514_c0_seq1
comp21431_c0_seq1	comp12692_c1_seq1
comp2143_c0_seq1	comp2162_c3_seq1
comp10080_c0_seq1	comp6727_c0_seq1
comp21444_c3_seq1	comp16357_c0_seq1
comp21448_c0_seq1	comp20225_c0_seq1
comp2144_c0_seq1	comp2216_c0_seq1
comp10835_c0_seq1	comp11495_c0_seq1
comp21457_c0_seq1	comp24653_c0_seq1
comp21462_c0_seq1	comp52119_c0_seq1
comp21463_c0_seq1	comp12987_c9_seq1
comp21464_c0_seq1	comp14135_c0_seq1
comp21465_c0_seq1	comp29166_c0_seq1
comp21466_c0_seq1	comp14156_c0_seq1
comp2146_c0_seq1	comp5563_c0_seq1
comp21472_c0_seq1	comp16582_c0_seq1
comp21473_c0_seq1	comp13510_c0_seq1
comp21474_c0_seq1	comp10759_c0_seq1
comp21478_c0_seq1	comp26037_c0_seq1
comp21479_c0_seq1	comp39503_c0_seq1
comp2147_c0_seq1	comp426_c0_seq1
comp21489_c3_seq1	comp28725_c0_seq1
comp10837_c1_seq1	comp6686_c0_seq1
comp21493_c0_seq1	comp19139_c0_seq1
comp214_c0_seq1	comp133_c0_seq1
comp21508_c0_seq1	comp20801_c1_seq1
comp10837_c2_seq1	comp48329_c0_seq1
comp21511_c0_seq1	comp23970_c0_seq1
comp2151_c1_seq1	comp2936_c1_seq1
comp21524_c0_seq1	comp22375_c1_seq1
comp21527_c0_seq1	comp21796_c0_seq1
comp21533_c0_seq1	comp14624_c0_seq1
comp21534_c0_seq1	comp19224_c0_seq1
comp21539_c0_seq1	comp24137_c0_seq1
comp21545_c0_seq1	comp24250_c0_seq1
comp21546_c0_seq1	comp10951_c1_seq1
comp2154_c0_seq1	comp2891_c0_seq1
