contig	numOutSnps	numTotSnps	prop	TempGroup	PrecipGroup	BothTempPrecip	SpruceOrthoOut
comp4836_c0_seq1	1	37	0.027027027	FALSE	FALSE	FALSE	FALSE
comp3516_c0_seq1	1	37	0.027027027	FALSE	TRUE	FALSE	FALSE
comp51036_c0_seq1	1	36	0.027777778	FALSE	TRUE	FALSE	FALSE
comp71320_c0_seq1	1	36	0.027777778	FALSE	FALSE	FALSE	FALSE
comp1805_c0_seq1	2	68	0.029411765	FALSE	FALSE	FALSE	FALSE
comp6497_c0_seq1	1	33	0.03030303	FALSE	FALSE	FALSE	FALSE
comp9655_c0_seq1	1	33	0.03030303	FALSE	FALSE	FALSE	FALSE
comp30586_c0_seq1	1	33	0.03030303	FALSE	FALSE	FALSE	FALSE
comp815_c0_seq1	1	32	0.03125	FALSE	FALSE	FALSE	FALSE
comp1073_c0_seq1	2	61	0.032786885	FALSE	FALSE	FALSE	FALSE
comp730_c0_seq1	1	30	0.033333333	FALSE	TRUE	FALSE	FALSE
comp37445_c0_seq1	1	29	0.034482759	FALSE	FALSE	FALSE	FALSE
comp1439_c0_seq1	2	58	0.034482759	TRUE	FALSE	FALSE	FALSE
comp10809_c0_seq1	1	28	0.035714286	FALSE	FALSE	FALSE	FALSE
comp1506_c0_seq1	2	55	0.036363636	FALSE	TRUE	FALSE	FALSE
comp31135_c0_seq1	1	27	0.037037037	TRUE	FALSE	FALSE	FALSE
comp26901_c0_seq1	1	27	0.037037037	FALSE	FALSE	FALSE	FALSE
comp7287_c0_seq1	1	27	0.037037037	FALSE	FALSE	FALSE	FALSE
comp19776_c1_seq1	2	54	0.037037037	TRUE	TRUE	TRUE	FALSE
comp14168_c0_seq1	2	54	0.037037037	FALSE	FALSE	FALSE	FALSE
comp3033_c0_seq1	1	25	0.04	FALSE	FALSE	FALSE	FALSE
comp4626_c0_seq1	1	25	0.04	FALSE	FALSE	FALSE	FALSE
comp6201_c0_seq1	1	24	0.041666667	FALSE	FALSE	FALSE	FALSE
comp33268_c0_seq1	1	23	0.043478261	FALSE	TRUE	FALSE	FALSE
comp106_c0_seq1	1	23	0.043478261	FALSE	FALSE	FALSE	FALSE
comp2741_c0_seq1	1	23	0.043478261	FALSE	FALSE	FALSE	FALSE
comp15605_c0_seq1	2	46	0.043478261	TRUE	FALSE	FALSE	TRUE
comp93351_c0_seq1	2	43	0.046511628	FALSE	TRUE	FALSE	FALSE
comp1011_c0_seq1	2	41	0.048780488	TRUE	FALSE	FALSE	FALSE
comp1221_c0_seq1	1	20	0.05	FALSE	FALSE	FALSE	FALSE
comp10478_c0_seq1	2	40	0.05	FALSE	FALSE	FALSE	FALSE
comp14951_c0_seq1	1	18	0.055555556	FALSE	FALSE	FALSE	FALSE
comp27340_c0_seq1	1	18	0.055555556	FALSE	FALSE	FALSE	FALSE
comp426_c0_seq1	2	34	0.058823529	FALSE	FALSE	FALSE	FALSE
comp21748_c0_seq1	2	32	0.0625	TRUE	TRUE	TRUE	FALSE
comp15191_c0_seq1	2	32	0.0625	FALSE	FALSE	FALSE	FALSE
comp9377_c0_seq1	1	15	0.066666667	FALSE	FALSE	FALSE	FALSE
comp7067_c0_seq1	2	30	0.066666667	FALSE	TRUE	FALSE	FALSE
comp6384_c1_seq1	2	29	0.068965517	FALSE	FALSE	FALSE	FALSE
comp15037_c0_seq1	2	28	0.071428571	FALSE	FALSE	FALSE	FALSE
comp10457_c0_seq1	2	28	0.071428571	FALSE	FALSE	FALSE	FALSE
comp90150_c0_seq1	2	27	0.074074074	FALSE	TRUE	FALSE	FALSE
comp8064_c0_seq1	2	27	0.074074074	FALSE	TRUE	FALSE	FALSE
comp6405_c0_seq1	1	13	0.076923077	FALSE	FALSE	FALSE	FALSE
comp67944_c0_seq1	1	13	0.076923077	FALSE	FALSE	FALSE	FALSE
comp28687_c0_seq1	1	12	0.083333333	TRUE	FALSE	FALSE	FALSE
comp12566_c0_seq1	1	12	0.083333333	FALSE	FALSE	FALSE	FALSE
comp1486_c0_seq1	3	36	0.083333333	FALSE	FALSE	FALSE	TRUE
comp12654_c0_seq1	3	34	0.088235294	FALSE	TRUE	FALSE	FALSE
comp9415_c0_seq1	3	33	0.090909091	FALSE	FALSE	FALSE	FALSE
comp50758_c0_seq1	3	31	0.096774194	FALSE	FALSE	FALSE	FALSE
comp3285_c0_seq1	3	31	0.096774194	FALSE	TRUE	FALSE	FALSE
comp5776_c0_seq1	3	27	0.111111111	FALSE	FALSE	FALSE	FALSE
comp1027_c0_seq1	4	36	0.111111111	FALSE	TRUE	FALSE	FALSE
comp4147_c0_seq1	8	70	0.114285714	FALSE	TRUE	FALSE	FALSE
comp8237_c0_seq1	5	43	0.11627907	TRUE	FALSE	FALSE	TRUE
comp109965_c0_seq1	2	17	0.117647059	FALSE	FALSE	FALSE	FALSE
comp9706_c0_seq1	3	24	0.125	FALSE	TRUE	FALSE	FALSE
comp9553_c0_seq1	9	68	0.132352941	FALSE	TRUE	FALSE	FALSE
comp64053_c0_seq1	5	36	0.138888889	FALSE	TRUE	FALSE	FALSE
comp6762_c0_seq1	7	46	0.152173913	TRUE	TRUE	TRUE	FALSE
comp4835_c0_seq1	8	49	0.163265306	FALSE	TRUE	FALSE	FALSE
comp1180_c0_seq1	3	16	0.1875	TRUE	FALSE	FALSE	FALSE
comp17487_c0_seq1	6	32	0.1875	FALSE	FALSE	FALSE	FALSE
comp29496_c0_seq1	4	20	0.2	TRUE	TRUE	TRUE	FALSE
comp24588_c0_seq1	5	22	0.227272727	FALSE	TRUE	FALSE	FALSE
comp26296_c0_seq1	3	13	0.230769231	FALSE	TRUE	FALSE	FALSE
comp25728_c1_seq1	5	21	0.238095238	FALSE	TRUE	FALSE	FALSE
comp2237_c0_seq1	11	44	0.25	FALSE	TRUE	FALSE	FALSE
comp1565_c0_seq1	34	127	0.267716535	FALSE	TRUE	FALSE	FALSE
comp6268_c0_seq1	3	10	0.3	FALSE	TRUE	FALSE	FALSE
comp23254_c0_seq1	6	20	0.3	FALSE	FALSE	FALSE	FALSE
comp1964_c0_seq1	12	40	0.3	FALSE	TRUE	FALSE	FALSE
comp6329_c0_seq1	8	18	0.444444444	FALSE	TRUE	FALSE	FALSE
comp60064_c0_seq1	46	75	0.613333333	TRUE	TRUE	TRUE	FALSE
comp33846_c0_seq1	15	24	0.625	FALSE	TRUE	FALSE	FALSE
comp1563_c0_seq1	19	25	0.76	TRUE	TRUE	TRUE	FALSE
comp73926_c0_seq1	13	14	0.928571429	TRUE	FALSE	FALSE	FALSE
