contig2	numOutSnps	prop	NumTempOut	NumPrecipOut	Annotation	numTotSnps
comp1027_c0	4	0.111111111	0	4	"protein_coding myo-inositol oxygenase 4 Encodes a myo-inositol oxygenase. myo-inositol oxygenase 4 (MIOX4); FUNCTIONS IN: inositol oxygenase activity; INVOLVED IN: L-ascorbic acid biosynthetic process, syncytium formation; "	36
comp25728_c1	5	0.238095238	0	4	NA	21
comp12654_c0	3	0.088235294	0	3	"protein_coding ATP binding microtubule motor family protein ATP binding microtubule motor family protein; FUNCTIONS IN: microtubule motor activity, ATP binding; "	34
comp26296_c0	3	0.230769231	0	3	NA	13
comp3285_c0	3	0.096774194	0	3	"protein_coding Zinc finger C-x8-C-x5-C-x3-H type family protein Encodes SOMNUS (SOM), a nucleus-localized CCCH-type zinc finger protein. SOM negatively regulates light-dependent seed germination downstream of PIL5 (AT2G20180). SOMNUS (SOM); "	31
comp6268_c0	3	0.3	0	3	"protein_coding RNA-binding (RRM/RBD/RNP motifs) family protein RNA-binding (RRM/RBD/RNP motifs) family protein; FUNCTIONS IN: RNA binding, nucleotide binding, nucleic acid binding; INVOLVED IN: biological_process unknown; "	10
comp7067_c0	2	0.066666667	0	2	"protein_coding K+ efflux antiporter 4 member of Putative potassium proton antiporter family K+ efflux antiporter 4 (KEA4); FUNCTIONS IN: potassium:hydrogen antiporter activity, potassium ion transmembrane transporter activity; INVOLVED IN: potassium ion transport, cation transport, transmembrane transport; LOCATED IN: endomembrane system, integral to membrane; "	30
comp8064_c0	2	0.074074074	0	2	protein_coding TIFY domain protein 8 TIFY domain protein 8 (TIFY8); 	27
comp9706_c0	3	0.125	0	2	protein_coding Pentatricopeptide repeat (PPR) superfamily protein Pentatricopeptide repeat (PPR) superfamily protein; 	24
comp11553_c0	1	0.01	0	1	"protein_coding ubiquitin-specific protease 23 Encodes a ubiquitin-specific protease. ubiquitin-specific protease 23 (UBP23); FUNCTIONS IN: ubiquitin-specific protease activity, ubiquitin thiolesterase activity; INVOLVED IN: ubiquitin-dependent protein catabolic process; LOCATED IN: chloroplast; "	100
comp1506_c0	2	0.036363636	0	1	"protein_coding Tubulin/FtsZ family protein Encodes one of two FtsZ proteins, tubulin-like proteins, in Arabidopsis. It is involved in chloroplast division. FTSZ2-1; FUNCTIONS IN: protein binding, structural molecule activity; INVOLVED IN: chloroplast fission; LOCATED IN: chloroplast stroma, chloroplast;"	55
comp33268_c0	1	0.043478261	0	1	NA	23
comp33846_c0	15	0.625	0	1	"protein_coding sodium proton exchanger, putative (NHX7) (SOS1) Encodes a plasma membrane-localized Na+/H+ antiporter SOS1. Functions in the extrusion of toxic Na+ from cells and is essential for plant salt tolerance. Has 12 predicted transmembrane domains in the N-terminal region and a long cytoplasmic tail of approx. 700 aa at the C-terminal side. SOS1 interacts through its predicted cytoplasmic tail with RCD1, a regulator of oxidative-stress responses, suggesting that SOS1 might function in oxidative-stress tolerance."	24
comp3516_c0	1	0.027027027	0	1	"protein_coding signal peptide peptidase Encodes a putative protease SppA (SppA). signal peptide peptidase (SPPA); FUNCTIONS IN: serine-type endopeptidase activity; INVOLVED IN: proteolysis, response to light intensity; "	37
comp51036_c0	1	0.027777778	0	1	NA	36
comp730_c0	1	0.033333333	0	1	"protein_coding ARF-GAP domain 2 A member of ARF GAP domain (AGD), A thaliana has 15 members, grouped into four classes. AGD2 belongs to the class 1, together with AGD1, AGD3, and AGD4. ARF-GAP domain 2 (AGD2); FUNCTIONS IN: ARF GTPase activator activity, zinc ion binding; INVOLVED IN: regulation of ARF GTPase activity; "	30
comp90150_c0	2	0.074074074	0	1	NA	27
comp93351_c0	2	0.046511628	0	1	NA	43
comp10095_c0	2	0.026315789	0	0	"protein_coding transcription factor IIIA Encodes a transcriptional factor TFIIIA required for transcription of 5S rRNA gene. 5S rRNA is the smallest constituent of the ribosome.  FUNCTIONS IN: 5S rRNA binding, zinc ion binding, sequence-specific DNA binding transcription factor activity, 5S rDNA binding, nucleic acid binding; "	76
comp10457_c0	2	0.071428571	0	0	"protein_coding chloride channel C member of Anion channel protein family chloride channel C (CLC-C); FUNCTIONS IN: anion channel activity, voltage-gated chloride channel activity; INVOLVED IN: chloride transport, transmembrane transport; LOCATED IN: plant-type vacuole membrane, intracellular, plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Chloride channel, core (InterPro:IPR014743), Chloride channel, voltage gated (InterPro:IPR001807), Chloride channel ClC-plant (InterPro:IPR002251), Cystathionine beta-synthase, core (InterPro:IPR000644), Twin-arginine translocation pathway, signal sequence (InterPro:IPR006311); BEST Arabidopsis thaliana protein match is: Voltage-gated chloride channel family protein (TAIR:AT5G33280.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink)."	28
comp10478_c0	2	0.05	0	0	NA	40
comp106_c0	1	0.043478261	0	0	"protein_coding 2Fe-2S ferredoxin-like superfamily protein encodes a major leaf ferredoxin FED A; FUNCTIONS IN: electron carrier activity, iron-sulfur cluster binding, 2 iron, 2 sulfur cluster binding; INVOLVED IN: photosynthetic electron transport chain, response to light stimulus; LOCATED IN: chloroplast stroma, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: 2Fe-2S ferredoxin, iron-sulphur binding site (InterPro:IPR006058), Ferredoxin (InterPro:IPR001041), Ferredoxin [2Fe-2S], plant (InterPro:IPR010241), Beta-grasp fold, ferredoxin-type (InterPro:IPR012675); BEST Arabidopsis thaliana protein match is: ferredoxin 1 (TAIR:AT1G10960.1); Has 7652 Blast hits to 7650 proteins in 1365 species: Archae - 135; Bacteria - 5670; Metazoa - 7; Fungi - 12; Plants - 625; Viruses - 5; Other Eukaryotes - 1198 (source: NCBI BLink)."	23
comp1063_c0	1	0.011494253	0	0	protein_coding regulatory component of ABA receptor 1 Encodes RCAR1 (regulatory components of ABA receptor). Interacts with and regulates the type 2C protein phosphatases (PP2Cs) ABI1 and ABI2. Functions as abscisic acid sensor. regulatory component of ABA receptor 1 (RCAR1); CONTAINS InterPro DOMAIN/s: Polyketide cyclase/dehydrase (InterPro:IPR019587); BEST Arabidopsis thaliana protein match is: PYR1-like 7 (TAIR:AT4G01026.1); Has 395 Blast hits to 395 proteins in 28 species: Archae - 0; Bacteria - 3; Metazoa - 0; Fungi - 0; Plants - 392; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	87
comp1073_c0	2	0.032786885	0	0	"protein_coding phytoene desaturation 1 Mutation of the PDS1 locus disrupts the activity of p-hydroxyphenylpyruvate dioxygenase (HPPDase), the first committed step in the synthesis of both plastoquinone and tocopherols in plants. phytoene desaturation 1 (PDS1); CONTAINS InterPro DOMAIN/s: 4-hydroxyphenylpyruvate dioxygenase (InterPro:IPR005956), Glyoxalase/bleomycin resistance protein/dioxygenase (InterPro:IPR004360); Has 2414 Blast hits to 2412 proteins in 817 species: Archae - 3; Bacteria - 1671; Metazoa - 206; Fungi - 158; Plants - 88; Viruses - 0; Other Eukaryotes - 288 (source: NCBI BLink)."	61
comp10809_c0	1	0.035714286	0	0	"protein_coding GroES-like zinc-binding dehydrogenase family protein Encodes a glutathione-dependent formaldehyde dehydrogenase (also known as class III type alcohol dehydrogenase) reduces S-nitrosoglutathione (GSNO), the condensation product of glutathione and NO, that is a naturally occurring NO reservoir and also a reactive nitrogen intermediate. Gene expression is reduced by wounding and induced by salicylic acid. Is required for the acclimation of plants to high temperature and for fertility. sensitive to hot temperatures 5 (HOT5); FUNCTIONS IN: S-(hydroxymethyl)glutathione dehydrogenase activity, S-nitrosoglutathione reductase activity; INVOLVED IN: in 6 processes; LOCATED IN: peroxisome; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: GroES-like (InterPro:IPR011032), Alcohol dehydrogenase GroES-like (InterPro:IPR013154), Alcohol dehydrogenase, zinc-containing, conserved site (InterPro:IPR002328), Alcohol dehydrogenase, C-terminal (InterPro:IPR013149), Alcohol dehydrogenase class III/S-(hydroxymethyl)glutathione dehydrogenase (InterPro:IPR014183), Alcohol dehydrogenase superfamily, zinc-containing (InterPro:IPR002085); BEST Arabidopsis thaliana protein match is: alcohol dehydrogenase 1 (TAIR:AT1G77120.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink)."	28
comp109965_c0	2	0.117647059	0	0	protein_coding embryonic flower 1 (EMF1) Involved in regulating reproductive development embryonic flower 1 (EMF1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	17
comp11801_c0	1	0.019230769	0	0	NA	52
comp1221_c0	1	0.05	0	0	"protein_coding glycolipid transfer protein 1 glycolipid transfer protein 1 (GLTP1); FUNCTIONS IN: glycolipid transporter activity, glycolipid binding; INVOLVED IN: glycolipid transport; LOCATED IN: plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Glycolipid transfer protein, GLTP (InterPro:IPR014830); BEST Arabidopsis thaliana protein match is: Glycolipid transfer protein (GLTP) family protein (TAIR:AT3G21260.3); Has 607 Blast hits to 606 proteins in 171 species: Archae - 0; Bacteria - 0; Metazoa - 298; Fungi - 124; Plants - 134; Viruses - 0; Other Eukaryotes - 51 (source: NCBI BLink)."	20
comp12566_c0	1	0.083333333	0	0	"protein_coding B-box type zinc finger protein with CCT domain B-box type zinc finger protein with CCT domain; FUNCTIONS IN: sequence-specific DNA binding transcription factor activity, zinc ion binding; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: CCT domain (InterPro:IPR010402), Zinc finger, B-box (InterPro:IPR000315); BEST Arabidopsis thaliana protein match is: CONSTANS-like 9 (TAIR:AT3G07650.4); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink)."	12
comp1305_c0	2	0.026315789	0	0	"protein_coding Tetratricopeptide repeat (TPR)-like superfamily protein Tetratricopeptide repeat (TPR)-like superfamily protein; FUNCTIONS IN: binding; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Tetratricopeptide TPR-1 (InterPro:IPR001440), Tetratricopeptide-like helical (InterPro:IPR011990), Tetratricopeptide repeat-containing (InterPro:IPR013026), Tetratricopeptide repeat (InterPro:IPR019734); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."	76
comp13672_c0	1	0.013888889	0	0	protein_coding unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 14 plant structures; EXPRESSED DURING: 8 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G26910.1); Has 2350 Blast hits to 1412 proteins in 248 species: Archae - 0; Bacteria - 487; Metazoa - 577; Fungi - 236; Plants - 184; Viruses - 4; Other Eukaryotes - 862 (source: NCBI BLink).	72
comp14168_c0	2	0.037037037	0	0	protein_coding RINT-1 / TIP-1 family Involved in transportation of seed storage proteins from the ER to the vacuole. Mutant seed cell accumulates the precursors of 12S globulin and 2S albumin instead of the vacuolar-located mature proteins. maigo2 (MAG2); CONTAINS InterPro DOMAIN/s: RINT-1/TIP-1 (InterPro:IPR007528); BEST Arabidopsis thaliana protein match is: RINT-1 / TIP-1 family (TAIR:AT1G08400.1); Has 297 Blast hits to 297 proteins in 143 species: Archae - 16; Bacteria - 48; Metazoa - 107; Fungi - 71; Plants - 47; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink).	54
comp1486_c0	3	0.083333333	0	0	protein_coding CCT motif family protein CCT motif family protein; CONTAINS InterPro DOMAIN/s: CCT domain (InterPro:IPR010402); BEST Arabidopsis thaliana protein match is: pseudo-response regulator 9 (TAIR:AT2G46790.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).	36
comp14951_c0	1	0.055555556	0	0	"protein_coding Glutamine amidotransferase type 1 family protein Glutamine amidotransferase type 1 family protein; CONTAINS InterPro DOMAIN/s: Glutamine amidotransferase class-I, C-terminal (InterPro:IPR000991), Glutamine amidotransferase superfamily (InterPro:IPR011702), Anthranilate synthase, glutamine amidotransferase domain (InterPro:IPR006221), Carbamoyl phosphate synthase, GATase domain (InterPro:IPR001317), Glutamine amidotransferase type 1 (InterPro:IPR017926), Anthranilate synthase component II/delta crystallin (InterPro:IPR006220); BEST Arabidopsis thaliana protein match is: anthranilate synthase beta subunit 1 (TAIR:AT1G25220.1); Has 23972 Blast hits to 23972 proteins in 3394 species: Archae - 572; Bacteria - 15612; Metazoa - 646; Fungi - 629; Plants - 210; Viruses - 0; Other Eukaryotes - 6303 (source: NCBI BLink)."	18
comp15037_c0	2	0.071428571	0	0	protein_coding O-fucosyltransferase family protein O-fucosyltransferase family protein; CONTAINS InterPro DOMAIN/s: GDP-fucose protein O-fucosyltransferase (InterPro:IPR019378); Has 42 Blast hits to 40 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 3; Plants - 37; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).	28
comp15191_c0	2	0.0625	0	0	"protein_coding ARM repeat superfamily protein ARM repeat superfamily protein; FUNCTIONS IN: ubiquitin-protein ligase activity, binding; INVOLVED IN: protein ubiquitination; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: U box domain (InterPro:IPR003613), Armadillo-like helical (InterPro:IPR011989), Armadillo (InterPro:IPR000225), Armadillo-type fold (InterPro:IPR016024); BEST Arabidopsis thaliana protein match is: senescence-associated E3 ubiquitin ligase 1 (TAIR:AT1G20780.1); Has 2889 Blast hits to 2662 proteins in 212 species: Archae - 0; Bacteria - 26; Metazoa - 333; Fungi - 292; Plants - 2003; Viruses - 3; Other Eukaryotes - 232 (source: NCBI BLink)."	32
comp16474_c1	1	0.025641026	0	0	protein_coding Tetratricopeptide repeat (TPR)-like superfamily protein Tetratricopeptide repeat (TPR)-like superfamily protein; CONTAINS InterPro DOMAIN/s: Pentatricopeptide repeat (InterPro:IPR002885); BEST Arabidopsis thaliana protein match is: Tetratricopeptide repeat (TPR)-like superfamily protein (TAIR:AT3G23330.1); Has 43197 Blast hits to 14383 proteins in 288 species: Archae - 1; Bacteria - 6; Metazoa - 112; Fungi - 144; Plants - 42273; Viruses - 0; Other Eukaryotes - 661 (source: NCBI BLink).	39
comp17487_c0	6	0.1875	0	0	"protein_coding Na+/H+ exchanger 8 member of putative Na+/H+ antiporter (AtNHX) family. Functions as a plasma membrane Li+/H+ antiporter. Involved in Li+ efflux and detoxification. Na+/H+ exchanger 8 (NHX8); CONTAINS InterPro DOMAIN/s: Cation/H+ exchanger, conserved region (InterPro:IPR018422), Cation/H+ exchanger (InterPro:IPR006153), Na+/H+ exchanger, isoforms 7/8, conserved region (InterPro:IPR018418); BEST Arabidopsis thaliana protein match is: sodium proton exchanger, putative (NHX7) (SOS1) (TAIR:AT2G01980.1); Has 7911 Blast hits to 7887 proteins in 1969 species: Archae - 132; Bacteria - 5569; Metazoa - 988; Fungi - 148; Plants - 408; Viruses - 0; Other Eukaryotes - 666 (source: NCBI BLink)."	32
comp18_c0	1	0.019607843	0	0	"protein_coding glycine decarboxylase P-protein 1 glycine decarboxylase P-protein 1 (GLDP1); FUNCTIONS IN: glycine dehydrogenase (decarboxylating) activity, protein binding; INVOLVED IN: glycine catabolic process, response to cadmium ion, glycine decarboxylation via glycine cleavage system; LOCATED IN: mitochondrion, apoplast, glycine cleavage complex, chloroplast, chloroplast envelope; EXPRESSED IN: 31 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: Pyridoxal phosphate-dependent transferase, major domain (InterPro:IPR015424), Glycine cleavage system P-protein (InterPro:IPR003437), Glycine cleavage system P-protein-like (InterPro:IPR020581), Pyridoxal phosphate-dependent transferase, major region, subdomain 1 (InterPro:IPR015421), Glycine cleavage system P-protein, N-terminal (InterPro:IPR020580); BEST Arabidopsis thaliana protein match is: glycine decarboxylase P-protein 2 (TAIR:AT2G26080.1); Has 12463 Blast hits to 11454 proteins in 1943 species: Archae - 255; Bacteria - 5318; Metazoa - 139; Fungi - 214; Plants - 99; Viruses - 0; Other Eukaryotes - 6438 (source: NCBI BLink)."	51
comp1805_c0	2	0.029411765	0	0	"protein_coding Aldolase superfamily protein Encodes a putative 5-aminolevulinate dehydratase involved in chlorophyll biosynthesis. HEMB1; FUNCTIONS IN: porphobilinogen synthase activity, catalytic activity, metal ion binding; INVOLVED IN: porphyrin biosynthetic process; LOCATED IN: chloroplast stroma, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Aldolase-type TIM barrel (InterPro:IPR013785), Tetrapyrrole biosynthesis, porphobilinogen synthase (InterPro:IPR001731); BEST Arabidopsis thaliana protein match is: Aldolase superfamily protein (TAIR:AT1G44318.1); Has 6820 Blast hits to 6820 proteins in 2111 species: Archae - 162; Bacteria - 3714; Metazoa - 160; Fungi - 160; Plants - 86; Viruses - 0; Other Eukaryotes - 2538 (source: NCBI BLink)."	68
comp1878_c0	1	0.009345794	0	0	"protein_coding NFU domain protein 1 Encodes a protein containing the NFU domain that may be involved in iron-sulfur cluster assembly. Part of a five member gene family, more closely related to NFU2 and 3 than to NFU4 and 5. Targeted to the chloroplast. NFU domain protein 1 (NFU1); CONTAINS InterPro DOMAIN/s: NIF system FeS cluster assembly, NifU, C-terminal (InterPro:IPR001075); BEST Arabidopsis thaliana protein match is: NIFU-like protein 2 (TAIR:AT5G49940.1); Has 4565 Blast hits to 4561 proteins in 1155 species: Archae - 11; Bacteria - 2225; Metazoa - 159; Fungi - 160; Plants - 186; Viruses - 3; Other Eukaryotes - 1821 (source: NCBI BLink)."	107
comp2016_c0	1	0.017241379	0	0	"protein_coding Transducin/WD40 repeat-like superfamily protein embryo defective 1345 (emb1345); CONTAINS InterPro DOMAIN/s: WD40 repeat 2 (InterPro:IPR019782), WD40 repeat, conserved site (InterPro:IPR019775), WD40 repeat (InterPro:IPR001680), G-protein beta WD-40 repeat, region (InterPro:IPR020472), WD40 repeat-like-containing domain (InterPro:IPR011046), WD40-repeat-containing domain (InterPro:IPR017986), WD40/YVTN repeat-like-containing domain (InterPro:IPR015943), WD40 repeat, subgroup (InterPro:IPR019781); BEST Arabidopsis thaliana protein match is: Transducin/WD40 repeat-like superfamily protein (TAIR:AT4G32990.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink)."	58
comp23254_c0	6	0.3	0	0	"protein_coding Transducin/WD40 repeat-like superfamily protein Encodes a protein that may have a role in the spindle assembly checkpoint. BUB (BUDDING UNINHIBITED BY BENZYMIDAZOL) 3.1 (BUB3.1); CONTAINS InterPro DOMAIN/s: WD40 repeat 2 (InterPro:IPR019782), WD40 repeat-like-containing domain (InterPro:IPR011046), WD40-repeat-containing domain (InterPro:IPR017986), WD40/YVTN repeat-like-containing domain (InterPro:IPR015943), WD40 repeat (InterPro:IPR001680), WD40 repeat, subgroup (InterPro:IPR019781), G-protein beta WD-40 repeat, region (InterPro:IPR020472); BEST Arabidopsis thaliana protein match is: Transducin/WD40 repeat-like superfamily protein (TAIR:AT1G49910.1); Has 7284 Blast hits to 5351 proteins in 449 species: Archae - 14; Bacteria - 1710; Metazoa - 2206; Fungi - 1743; Plants - 568; Viruses - 0; Other Eukaryotes - 1043 (source: NCBI BLink)."	20
comp26901_c0	1	0.037037037	0	0	NA	27
comp27340_c0	1	0.055555556	0	0	protein_coding Pentatricopeptide repeat (PPR) superfamily protein Pentatricopeptide repeat (PPR) superfamily protein; CONTAINS InterPro DOMAIN/s: Pentatricopeptide repeat (InterPro:IPR002885); BEST Arabidopsis thaliana protein match is: Pentatricopeptide repeat (PPR) superfamily protein (TAIR:AT5G64320.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	18
comp2741_c0	1	0.043478261	0	0	"protein_coding Integrase-type DNA-binding superfamily protein Encodes a floral homeotic gene, a member of the AP2/EREBP (ethylene responsive element binding protein) class of transcription factors and is involved in the specification of floral organ identity, establishment of floral meristem identity, suppression of floral meristem indeterminancy, and development of the ovule and seed coat. AP2 also has a role in controlling seed mass. Dominant negative allele I28, revealed a function in meristem maintenance-mutant meristems are smaller than normal siblings. AP2 appears to act on the WUS-CLV pathway in an AG independent manner. APETALA 2 (AP2); CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: target of early activation tagged (EAT) 3 (TAIR:AT5G67180.1); Has 8542 Blast hits to 5152 proteins in 275 species: Archae - 0; Bacteria - 58; Metazoa - 3; Fungi - 0; Plants - 8374; Viruses - 7; Other Eukaryotes - 100 (source: NCBI BLink)."	23
comp27756_c0	1	0.011363636	0	0	protein_coding Pentatricopeptide repeat (PPR) superfamily protein Pentatricopeptide repeat (PPR) superfamily protein; CONTAINS InterPro DOMAIN/s: Pentatricopeptide repeat (InterPro:IPR002885); BEST Arabidopsis thaliana protein match is: Pentatricopeptide repeat (PPR) superfamily protein (TAIR:AT5G55840.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	88
